variant_id,lemma,type,en_US,en_GB,en_AU,en_CA,notes,source
lexical_choice-01710,apartment,lexical_choice,apartment,flat,,,Primary residence / housing terminology,breame_meanings
lexical_choice-01713,cookie,lexical_choice,cookie,biscuit,,,Food naming difference,breame_meanings
lexical_choice-01717,diaper,lexical_choice,diaper,nappy,,,Baby care terminology,breame_meanings
lexical_choice-01716,elevator,lexical_choice,elevator,lift,,,Building infrastructure naming,breame_meanings
lexical_choice-01719,faucet,lexical_choice,faucet,tap,,,Plumbing terminology,breame_meanings
lexical_choice-01718,flashlight,lexical_choice,flashlight,torch,,,Lighting terminology,breame_meanings
lexical_choice-01714,gasoline,lexical_choice,gasoline,petrol,,,Fuel naming difference,breame_meanings
lexical_choice-01715,sidewalk,lexical_choice,sidewalk,pavement,,,Pedestrian path naming,breame_meanings
lexical_choice-01712,soccer,lexical_choice,soccer,football,,,Sport naming difference,breame_meanings
lexical_choice-01711,truck,lexical_choice,truck,lorry,,,Vehicle / logistics terminology,breame_meanings
